N,wide_area,wide_relative_error,narrow_area,narrow_relative_error
45600,0.947961,0.00364561,0.785132,0.168748
46100,0.94705,0.00268148,0.784837,0.16906
46600,0.947124,0.00276043,0.785193,0.168683
47100,0.948535,0.00425386,0.785223,0.168652
47600,0.949916,0.00571592,0.785084,0.168799
48100,0.949771,0.00556276,0.785031,0.168855
48600,0.952222,0.00815765,0.785103,0.168779
49100,0.95444,0.0105056,0.785316,0.168553
49600,0.954617,0.010693,0.784919,0.168973
50100,0.955868,0.0120179,0.78509,0.168792
50600,0.95834,0.0146347,0.785217,0.168657
51100,0.957593,0.0138439,0.785362,0.168504
51600,0.957907,0.0141763,0.785426,0.168436
52100,0.957179,0.0134051,0.785566,0.168288
52600,0.958517,0.0148223,0.785627,0.168223
53100,0.960847,0.0172895,0.785518,0.168339
53600,0.961119,0.0175775,0.785541,0.168315
54100,0.959556,0.0159226,0.78536,0.168506
54600,0.960824,0.0172649,0.785201,0.168674
55100,0.960436,0.0168535,0.785372,0.168494
55600,0.960863,0.0173063,0.785486,0.168373
56100,0.958717,0.0150335,0.785241,0.168633
56600,0.957721,0.0139793,0.785424,0.168439
57100,0.958161,0.0144454,0.785412,0.168452
57600,0.958594,0.0149034,0.78526,0.168612
58100,0.958244,0.0145336,0.78537,0.168496
58600,0.957901,0.01417,0.7857,0.168147
59100,0.958782,0.0151025,0.785635,0.168216
59600,0.957534,0.013781,0.785638,0.168213
60100,0.955707,0.0118473,0.785657,0.168192
60600,0.956139,0.0123041,0.785693,0.168154
61100,0.954795,0.010882,0.785565,0.16829
61600,0.953766,0.00979236,0.785617,0.168234
62100,0.953913,0.00994779,0.785894,0.167941
62600,0.955208,0.0113185,0.785958,0.167873
63100,0.954057,0.0101003,0.786022,0.167805
63600,0.953915,0.00994996,0.786038,0.167789
64100,0.954197,0.010248,0.785928,0.167905
64600,0.95531,0.0114264,0.785805,0.168035
65100,0.957235,0.0134649,0.785791,0.16805
65600,0.95872,0.0150366,0.785808,0.168032
66100,0.960045,0.0164404,0.7859,0.167935
66600,0.959054,0.0153908,0.785856,0.167981
67100,0.958346,0.0146409,0.785753,0.168091
67600,0.958713,0.0150297,0.786036,0.167791
68100,0.958811,0.015133,0.785888,0.167947
68600,0.959038,0.0153737,0.786064,0.167761
69100,0.959913,0.0163004,0.786223,0.167593
69600,0.960647,0.0170768,0.78625,0.167564
70100,0.960214,0.0166189,0.786448,0.167355
70600,0.95915,0.0154925,0.786317,0.167493
71100,0.958481,0.0147841,0.786245,0.16757
71600,0.958953,0.0152833,0.786341,0.167468
72100,0.958294,0.0145861,0.786255,0.167559
72600,0.957149,0.0133736,0.786488,0.167313
73100,0.955896,0.0120473,0.786238,0.167577
73600,0.956005,0.0121631,0.786304,0.167507
