array_type,size,algorithm,threshold,time_ms
random,1400,hybrid,50,565
reversed,1400,hybrid,50,569
almost_sorted,1400,hybrid,50,297
random,1500,standard,0,2821
reversed,1500,standard,0,2701
almost_sorted,1500,standard,0,2820
random,1500,hybrid,5,1209
reversed,1500,hybrid,5,1038
almost_sorted,1500,hybrid,5,1025
random,1500,hybrid,10,847
reversed,1500,hybrid,10,700
almost_sorted,1500,hybrid,10,654
random,1500,hybrid,20,626
reversed,1500,hybrid,20,502
almost_sorted,1500,hybrid,20,450
random,1500,hybrid,30,598
reversed,1500,hybrid,30,685
almost_sorted,1500,hybrid,30,533
random,1500,hybrid,50,740
reversed,1500,hybrid,50,599
almost_sorted,1500,hybrid,50,250
random,1600,standard,0,2824
reversed,1600,standard,0,2696
almost_sorted,1600,standard,0,2630
random,1600,hybrid,5,1272
reversed,1600,hybrid,5,1122
almost_sorted,1600,hybrid,5,1049
random,1600,hybrid,10,842
reversed,1600,hybrid,10,707
almost_sorted,1600,hybrid,10,872
random,1600,hybrid,20,868
reversed,1600,hybrid,20,509
almost_sorted,1600,hybrid,20,471
random,1600,hybrid,30,572
reversed,1600,hybrid,30,468
almost_sorted,1600,hybrid,30,377
random,1600,hybrid,50,617
reversed,1600,hybrid,50,628
almost_sorted,1600,hybrid,50,254
random,1700,standard,0,3039
reversed,1700,standard,0,2831
almost_sorted,1700,standard,0,2781
random,1700,hybrid,5,1273
reversed,1700,hybrid,5,1126
almost_sorted,1700,hybrid,5,1160
random,1700,hybrid,10,903
reversed,1700,hybrid,10,744
almost_sorted,1700,hybrid,10,718
random,1700,hybrid,20,691
reversed,1700,hybrid,20,575
almost_sorted,1700,hybrid,20,612
random,1700,hybrid,30,861
reversed,1700,hybrid,30,844
almost_sorted,1700,hybrid,30,375
random,1700,hybrid,50,759
reversed,1700,hybrid,50,529
almost_sorted,1700,hybrid,50,362
random,1800,standard,0,3165
reversed,1800,standard,0,3010
almost_sorted,1800,standard,0,3155
random,1800,hybrid,5,1427
reversed,1800,hybrid,5,1289
almost_sorted,1800,hybrid,5,1181
random,1800,hybrid,10,942
reversed,1800,hybrid,10,743
almost_sorted,1800,hybrid,10,716
random,1800,hybrid,20,721
reversed,1800,hybrid,20,566
almost_sorted,1800,hybrid,20,496
random,1800,hybrid,30,657
reversed,1800,hybrid,30,550
almost_sorted,1800,hybrid,30,373
random,1800,hybrid,50,645
reversed,1800,hybrid,50,546
almost_sorted,1800,hybrid,50,368
random,1900,standard,0,3320
reversed,1900,standard,0,3543
almost_sorted,1900,standard,0,3175
random,1900,hybrid,5,1344
reversed,1900,hybrid,5,1230
almost_sorted,1900,hybrid,5,1181
random,1900,hybrid,10,956
reversed,1900,hybrid,10,797
almost_sorted,1900,hybrid,10,762
random,1900,hybrid,20,805
reversed,1900,hybrid,20,599
almost_sorted,1900,hybrid,20,515
random,1900,hybrid,30,708
reversed,1900,hybrid,30,657
almost_sorted,1900,hybrid,30,524
random,1900,hybrid,50,733
reversed,1900,hybrid,50,592
almost_sorted,1900,hybrid,50,441
random,2000,standard,0,3499
reversed,2000,standard,0,3383
almost_sorted,2000,standard,0,3382
random,2000,hybrid,5,1616
reversed,2000,hybrid,5,1297
