array_type,size,algorithm,threshold,time_ms
almost_sorted,27600,hybrid,20,8303
random,27600,hybrid,30,10768
reversed,27600,hybrid,30,8577
almost_sorted,27600,hybrid,30,6613
random,27600,hybrid,50,18728
reversed,27600,hybrid,50,8495
almost_sorted,27600,hybrid,50,6453
random,27700,standard,0,39531
reversed,27700,standard,0,35314
almost_sorted,27700,standard,0,37680
random,27700,hybrid,5,18718
reversed,27700,hybrid,5,17086
almost_sorted,27700,hybrid,5,15140
random,27700,hybrid,10,15110
reversed,27700,hybrid,10,13560
almost_sorted,27700,hybrid,10,10449
random,27700,hybrid,20,11623
reversed,27700,hybrid,20,8571
almost_sorted,27700,hybrid,20,7952
random,27700,hybrid,30,10747
reversed,27700,hybrid,30,8486
almost_sorted,27700,hybrid,30,6892
random,27700,hybrid,50,10821
reversed,27700,hybrid,50,8733
almost_sorted,27700,hybrid,50,6617
random,27800,standard,0,40050
reversed,27800,standard,0,35605
almost_sorted,27800,standard,0,35781
random,27800,hybrid,5,22629
reversed,27800,hybrid,5,15564
almost_sorted,27800,hybrid,5,15228
random,27800,hybrid,10,13560
reversed,27800,hybrid,10,10748
almost_sorted,27800,hybrid,10,10515
random,27800,hybrid,20,12363
reversed,27800,hybrid,20,8678
almost_sorted,27800,hybrid,20,7820
random,27800,hybrid,30,12266
reversed,27800,hybrid,30,8408
almost_sorted,27800,hybrid,30,6498
random,27800,hybrid,50,10798
reversed,27800,hybrid,50,8667
almost_sorted,27800,hybrid,50,6563
random,27900,standard,0,38519
reversed,27900,standard,0,48302
almost_sorted,27900,standard,0,36487
random,27900,hybrid,5,21370
reversed,27900,hybrid,5,16199
almost_sorted,27900,hybrid,5,15292
random,27900,hybrid,10,13700
reversed,27900,hybrid,10,10874
almost_sorted,27900,hybrid,10,10723
random,27900,hybrid,20,11694
reversed,27900,hybrid,20,8451
almost_sorted,27900,hybrid,20,8191
random,27900,hybrid,30,11324
reversed,27900,hybrid,30,16688
almost_sorted,27900,hybrid,30,6452
random,27900,hybrid,50,10984
reversed,27900,hybrid,50,8607
almost_sorted,27900,hybrid,50,6666
random,28000,standard,0,38821
reversed,28000,standard,0,36126
almost_sorted,28000,standard,0,37607
random,28000,hybrid,5,17949
reversed,28000,hybrid,5,15355
almost_sorted,28000,hybrid,5,19145
random,28000,hybrid,10,13630
reversed,28000,hybrid,10,10650
almost_sorted,28000,hybrid,10,10583
random,28000,hybrid,20,11230
reversed,28000,hybrid,20,8732
almost_sorted,28000,hybrid,20,8103
random,28000,hybrid,30,10901
reversed,28000,hybrid,30,8723
almost_sorted,28000,hybrid,30,6536
random,28000,hybrid,50,10902
reversed,28000,hybrid,50,10599
almost_sorted,28000,hybrid,50,7605
random,28100,standard,0,40479
reversed,28100,standard,0,40872
almost_sorted,28100,standard,0,39904
random,28100,hybrid,5,18729
reversed,28100,hybrid,5,15274
almost_sorted,28100,hybrid,5,15303
random,28100,hybrid,10,13497
reversed,28100,hybrid,10,10806
almost_sorted,28100,hybrid,10,10463
random,28100,hybrid,20,11363
reversed,28100,hybrid,20,8611
almost_sorted,28100,hybrid,20,8376
random,28100,hybrid,30,11413
reversed,28100,hybrid,30,8620
almost_sorted,28100,hybrid,30,6466
random,28100,hybrid,50,11057
reversed,28100,hybrid,50,8615
almost_sorted,28100,hybrid,50,9391
random,28200,standard,0,44917
reversed,28200,standard,0,36690
almost_sorted,28200,standard,0,40541
random,28200,hybrid,5,18216
reversed,28200,hybrid,5,15631
almost_sorted,28200,hybrid,5,15373
random,28200,hybrid,10,13798
reversed,28200,hybrid,10,14386
almost_sorted,28200,hybrid,10,16657
random,28200,hybrid,20,11443
reversed,28200,hybrid,20,8388
almost_sorted,28200,hybrid,20,8281
random,28200,hybrid,30,12335
reversed,28200,hybrid,30,8508
almost_sorted,28200,hybrid,30,6467
random,28200,hybrid,50,12780
reversed,28200,hybrid,50,10010
almost_sorted,28200,hybrid,50,6458
random,28300,standard,0,39372
reversed,28300,standard,0,36202
almost_sorted,28300,standard,0,36204
random,28300,hybrid,5,21582
reversed,28300,hybrid,5,15237
almost_sorted,28300,hybrid,5,15226
random,28300,hybrid,10,13607
reversed,28300,hybrid,10,10723
almost_sorted,28300,hybrid,10,10656
random,28300,hybrid,20,11503
reversed,28300,hybrid,20,8499
almost_sorted,28300,hybrid,20,8607
random,28300,hybrid,30,11070
reversed,28300,hybrid,30,8804
almost_sorted,28300,hybrid,30,6650
random,28300,hybrid,50,11061
reversed,28300,hybrid,50,11341
almost_sorted,28300,hybrid,50,6719
random,28400,standard,0,49193
reversed,28400,standard,0,37321
almost_sorted,28400,standard,0,36746
random,28400,hybrid,5,18323
reversed,28400,hybrid,5,17316
almost_sorted,28400,hybrid,5,15332
random,28400,hybrid,10,13813
reversed,28400,hybrid,10,10707
almost_sorted,28400,hybrid,10,11769
random,28400,hybrid,20,12614
reversed,28400,hybrid,20,9012
almost_sorted,28400,hybrid,20,8842
random,28400,hybrid,30,13480
reversed,28400,hybrid,30,10229
almost_sorted,28400,hybrid,30,6886
random,28400,hybrid,50,10935
reversed,28400,hybrid,50,8749
almost_sorted,28400,hybrid,50,6555
random,28500,standard,0,41948
reversed,28500,standard,0,38290
almost_sorted,28500,standard,0,37183
random,28500,hybrid,5,18266
reversed,28500,hybrid,5,25102
almost_sorted,28500,hybrid,5,15905
random,28500,hybrid,10,13630
reversed,28500,hybrid,10,11017
almost_sorted,28500,hybrid,10,12409
random,28500,hybrid,20,11535
reversed,28500,hybrid,20,8752
almost_sorted,28500,hybrid,20,8186
random,28500,hybrid,30,10977
reversed,28500,hybrid,30,10527
almost_sorted,28500,hybrid,30,6577
random,28500,hybrid,50,11072
reversed,28500,hybrid,50,8835
almost_sorted,28500,hybrid,50,6508
random,28600,standard,0,44474
reversed,28600,standard,0,41119
almost_sorted,28600,standard,0,39316
random,28600,hybrid,5,18056
reversed,28600,hybrid,5,15478
almost_sorted,28600,hybrid,5,16374
random,28600,hybrid,10,13766
reversed,28600,hybrid,10,11002
almost_sorted,28600,hybrid,10,13180
random,28600,hybrid,20,11575
reversed,28600,hybrid,20,8676
almost_sorted,28600,hybrid,20,9509
random,28600,hybrid,30,11088
reversed,28600,hybrid,30,11106
almost_sorted,28600,hybrid,30,8801
random,28600,hybrid,50,11006
reversed,28600,hybrid,50,8901
almost_sorted,28600,hybrid,50,6591
random,28700,standard,0,39540
reversed,28700,standard,0,36789
almost_sorted,28700,standard,0,36478
random,28700,hybrid,5,19188
reversed,28700,hybrid,5,17396
almost_sorted,28700,hybrid,5,17622
random,28700,hybrid,10,15588
reversed,28700,hybrid,10,11072
almost_sorted,28700,hybrid,10,11538
random,28700,hybrid,20,11595
reversed,28700,hybrid,20,9097
almost_sorted,28700,hybrid,20,8187
random,28700,hybrid,30,11289
reversed,28700,hybrid,30,9049
almost_sorted,28700,hybrid,30,6776
random,28700,hybrid,50,14382
reversed,28700,hybrid,50,8944
almost_sorted,28700,hybrid,50,6838
random,28800,standard,0,40572
reversed,28800,standard,0,41270
almost_sorted,28800,standard,0,38633
random,28800,hybrid,5,18380
reversed,28800,hybrid,5,15622
almost_sorted,28800,hybrid,5,17907
random,28800,hybrid,10,14222
reversed,28800,hybrid,10,11085
almost_sorted,28800,hybrid,10,10724
random,28800,hybrid,20,11649
reversed,28800,hybrid,20,9307
almost_sorted,28800,hybrid,20,8335
random,28800,hybrid,30,11263
reversed,28800,hybrid,30,9116
almost_sorted,28800,hybrid,30,6801
random,28800,hybrid,50,11167
reversed,28800,hybrid,50,9827
almost_sorted,28800,hybrid,50,9045
random,28900,standard,0,39818
reversed,28900,standard,0,37215
almost_sorted,28900,standard,0,40061
random,28900,hybrid,5,18435
reversed,28900,hybrid,5,15660
almost_sorted,28900,hybrid,5,15718
random,28900,hybrid,10,15206
reversed,28900,hybrid,10,15946
almost_sorted,28900,hybrid,10,16561
random,28900,hybrid,20,11711
reversed,28900,hybrid,20,8747
almost_sorted,28900,hybrid,20,8305
random,28900,hybrid,30,11213
reversed,28900,hybrid,30,8839
almost_sorted,28900,hybrid,30,6649
random,28900,hybrid,50,11075
reversed,28900,hybrid,50,9048
almost_sorted,28900,hybrid,50,6681
random,29000,standard,0,41674
reversed,29000,standard,0,38293
almost_sorted,29000,standard,0,41991
random,29000,hybrid,5,20271
reversed,29000,hybrid,5,15772
almost_sorted,29000,hybrid,5,15566
random,29000,hybrid,10,13815
reversed,29000,hybrid,10,11088
almost_sorted,29000,hybrid,10,11336
random,29000,hybrid,20,11572
reversed,29000,hybrid,20,9295
almost_sorted,29000,hybrid,20,8285
random,29000,hybrid,30,11147
reversed,29000,hybrid,30,9108
almost_sorted,29000,hybrid,30,6639
random,29000,hybrid,50,11341
reversed,29000,hybrid,50,8993
almost_sorted,29000,hybrid,50,6643
random,29100,standard,0,45279
reversed,29100,standard,0,37398
almost_sorted,29100,standard,0,38797
random,29100,hybrid,5,18371
reversed,29100,hybrid,5,15399
almost_sorted,29100,hybrid,5,19046
random,29100,hybrid,10,13998
reversed,29100,hybrid,10,11198
almost_sorted,29100,hybrid,10,11159
random,29100,hybrid,20,14595
reversed,29100,hybrid,20,8948
almost_sorted,29100,hybrid,20,8316
random,29100,hybrid,30,11285
reversed,29100,hybrid,30,9922
almost_sorted,29100,hybrid,30,6722
random,29100,hybrid,50,11451
reversed,29100,hybrid,50,9194
almost_sorted,29100,hybrid,50,6788
random,29200,standard,0,44397
reversed,29200,standard,0,37917
almost_sorted,29200,standard,0,49114
random,29200,hybrid,5,18642
reversed,29200,hybrid,5,15729
almost_sorted,29200,hybrid,5,15525
random,29200,hybrid,10,14156
reversed,29200,hybrid,10,10884
almost_sorted,29200,hybrid,10,10973
random,29200,hybrid,20,11783
reversed,29200,hybrid,20,8661
almost_sorted,29200,hybrid,20,8300
random,29200,hybrid,30,11371
reversed,29200,hybrid,30,10871
almost_sorted,29200,hybrid,30,7050
random,29200,hybrid,50,11570
reversed,29200,hybrid,50,9267
almost_sorted,29200,hybrid,50,6849
random,29300,standard,0,45903
reversed,29300,standard,0,38352
almost_sorted,29300,standard,0,37522
random,29300,hybrid,5,18724
reversed,29300,hybrid,5,15879
almost_sorted,29300,hybrid,5,15753
random,29300,hybrid,10,20730
reversed,29300,hybrid,10,10997
almost_sorted,29300,hybrid,10,10752
random,29300,hybrid,20,12068
reversed,29300,hybrid,20,9025
almost_sorted,29300,hybrid,20,14317
random,29300,hybrid,30,11449
reversed,29300,hybrid,30,9088
almost_sorted,29300,hybrid,30,6860
random,29300,hybrid,50,11558
reversed,29300,hybrid,50,9224
almost_sorted,29300,hybrid,50,6811
random,29400,standard,0,42838
reversed,29400,standard,0,38565
almost_sorted,29400,standard,0,37553
random,29400,hybrid,5,18650
reversed,29400,hybrid,5,18628
almost_sorted,29400,hybrid,5,16244
random,29400,hybrid,10,16058
reversed,29400,hybrid,10,11344
almost_sorted,29400,hybrid,10,11000
random,29400,hybrid,20,11725
reversed,29400,hybrid,20,9030
almost_sorted,29400,hybrid,20,8383
random,29400,hybrid,30,14462
reversed,29400,hybrid,30,9495
almost_sorted,29400,hybrid,30,6711
random,29400,hybrid,50,11555
reversed,29400,hybrid,50,9445
almost_sorted,29400,hybrid,50,9356
random,29500,standard,0,43942
reversed,29500,standard,0,47980
almost_sorted,29500,standard,0,37749
random,29500,hybrid,5,18859
reversed,29500,hybrid,5,15720
almost_sorted,29500,hybrid,5,16916
random,29500,hybrid,10,14038
reversed,29500,hybrid,10,11063
almost_sorted,29500,hybrid,10,10839
random,29500,hybrid,20,11917
reversed,29500,hybrid,20,8854
almost_sorted,29500,hybrid,20,9379
random,29500,hybrid,30,13294
reversed,29500,hybrid,30,9188
almost_sorted,29500,hybrid,30,8579
random,29500,hybrid,50,11719
reversed,29500,hybrid,50,9094
almost_sorted,29500,hybrid,50,6646
random,29600,standard,0,41829
reversed,29600,standard,0,41256
almost_sorted,29600,standard,0,41908
random,29600,hybrid,5,23483
reversed,29600,hybrid,5,23397
almost_sorted,29600,hybrid,5,16424
random,29600,hybrid,10,14119
reversed,29600,hybrid,10,11150
almost_sorted,29600,hybrid,10,10992
random,29600,hybrid,20,11938
reversed,29600,hybrid,20,8991
almost_sorted,29600,hybrid,20,9038
random,29600,hybrid,30,11739
reversed,29600,hybrid,30,9422
almost_sorted,29600,hybrid,30,6602
random,29600,hybrid,50,11629
reversed,29600,hybrid,50,10049
almost_sorted,29600,hybrid,50,6853
random,29700,standard,0,41337
reversed,29700,standard,0,41797
almost_sorted,29700,standard,0,37909
random,29700,hybrid,5,18637
reversed,29700,hybrid,5,15894
almost_sorted,29700,hybrid,5,15613
random,29700,hybrid,10,14161
reversed,29700,hybrid,10,11175
almost_sorted,29700,hybrid,10,12477
random,29700,hybrid,20,11939
reversed,29700,hybrid,20,9002
almost_sorted,29700,hybrid,20,8319
random,29700,hybrid,30,11484
reversed,29700,hybrid,30,10063
almost_sorted,29700,hybrid,30,9490
random,29700,hybrid,50,11842
reversed,29700,hybrid,50,10752
almost_sorted,29700,hybrid,50,6876
random,29800,standard,0,43779
reversed,29800,standard,0,41412
almost_sorted,29800,standard,0,40200
random,29800,hybrid,5,18623
reversed,29800,hybrid,5,15648
almost_sorted,29800,hybrid,5,28512
random,29800,hybrid,10,14458
reversed,29800,hybrid,10,11242
almost_sorted,29800,hybrid,10,10834
random,29800,hybrid,20,12008
reversed,29800,hybrid,20,9329
almost_sorted,29800,hybrid,20,8449
random,29800,hybrid,30,11999
reversed,29800,hybrid,30,9694
almost_sorted,29800,hybrid,30,6888
random,29800,hybrid,50,13991
reversed,29800,hybrid,50,9333
almost_sorted,29800,hybrid,50,6881
random,29900,standard,0,41906
reversed,29900,standard,0,48013
almost_sorted,29900,standard,0,38056
random,29900,hybrid,5,22164
reversed,29900,hybrid,5,16258
almost_sorted,29900,hybrid,5,16384
random,29900,hybrid,10,15121
reversed,29900,hybrid,10,11119
almost_sorted,29900,hybrid,10,11017
random,29900,hybrid,20,12607
reversed,29900,hybrid,20,8893
almost_sorted,29900,hybrid,20,10255
random,29900,hybrid,30,11782
reversed,29900,hybrid,30,9280
almost_sorted,29900,hybrid,30,8892
random,29900,hybrid,50,12900
reversed,29900,hybrid,50,9534
almost_sorted,29900,hybrid,50,6985
random,30000,standard,0,41673
reversed,30000,standard,0,38835
almost_sorted,30000,standard,0,38566
random,30000,hybrid,5,19122
reversed,30000,hybrid,5,15797
almost_sorted,30000,hybrid,5,21144
random,30000,hybrid,10,17482
reversed,30000,hybrid,10,11065
almost_sorted,30000,hybrid,10,11085
random,30000,hybrid,20,11861
reversed,30000,hybrid,20,9154
almost_sorted,30000,hybrid,20,8746
random,30000,hybrid,30,11710
reversed,30000,hybrid,30,9609
almost_sorted,30000,hybrid,30,6710
random,30000,hybrid,50,11832
reversed,30000,hybrid,50,11511
almost_sorted,30000,hybrid,50,6768
random,30100,standard,0,42380
reversed,30100,standard,0,38908
almost_sorted,30100,standard,0,44169
random,30100,hybrid,5,18746
reversed,30100,hybrid,5,18665
almost_sorted,30100,hybrid,5,16063
random,30100,hybrid,10,14409
reversed,30100,hybrid,10,11096
almost_sorted,30100,hybrid,10,11189
random,30100,hybrid,20,12035
reversed,30100,hybrid,20,8922
almost_sorted,30100,hybrid,20,8742
random,30100,hybrid,30,11851
reversed,30100,hybrid,30,9697
almost_sorted,30100,hybrid,30,7300
random,30100,hybrid,50,12529
reversed,30100,hybrid,50,9374
almost_sorted,30100,hybrid,50,8849
random,30200,standard,0,43390
reversed,30200,standard,0,38688
almost_sorted,30200,standard,0,40409
random,30200,hybrid,5,18672
reversed,30200,hybrid,5,15723
almost_sorted,30200,hybrid,5,15645
random,30200,hybrid,10,14487
reversed,30200,hybrid,10,12915
almost_sorted,30200,hybrid,10,20621
random,30200,hybrid,20,13176
reversed,30200,hybrid,20,9186
almost_sorted,30200,hybrid,20,10026
random,30200,hybrid,30,12218
reversed,30200,hybrid,30,9452
almost_sorted,30200,hybrid,30,7278
random,30200,hybrid,50,11979
reversed,30200,hybrid,50,9480
almost_sorted,30200,hybrid,50,7191
random,30300,standard,0,46401
reversed,30300,standard,0,41710
almost_sorted,30300,standard,0,43653
random,30300,hybrid,5,18769
reversed,30300,hybrid,5,15907
almost_sorted,30300,hybrid,5,15488
random,30300,hybrid,10,14289
reversed,30300,hybrid,10,11455
almost_sorted,30300,hybrid,10,11094
random,30300,hybrid,20,12243
reversed,30300,hybrid,20,9226
almost_sorted,30300,hybrid,20,8562
random,30300,hybrid,30,11859
reversed,30300,hybrid,30,9714
almost_sorted,30300,hybrid,30,7058
random,30300,hybrid,50,11846
reversed,30300,hybrid,50,9610
almost_sorted,30300,hybrid,50,6800
random,30400,standard,0,50046
reversed,30400,standard,0,39919
almost_sorted,30400,standard,0,40790
random,30400,hybrid,5,18712
reversed,30400,hybrid,5,16139
almost_sorted,30400,hybrid,5,15615
random,30400,hybrid,10,14382
reversed,30400,hybrid,10,11509
almost_sorted,30400,hybrid,10,14123
random,30400,hybrid,20,12219
reversed,30400,hybrid,20,9263
almost_sorted,30400,hybrid,20,8681
random,30400,hybrid,30,13706
reversed,30400,hybrid,30,9601
almost_sorted,30400,hybrid,30,7086
random,30400,hybrid,50,12051
reversed,30400,hybrid,50,9905
almost_sorted,30400,hybrid,50,7077
random,30500,standard,0,43119
reversed,30500,standard,0,40701
almost_sorted,30500,standard,0,44569
random,30500,hybrid,5,19720
reversed,30500,hybrid,5,16031
almost_sorted,30500,hybrid,5,16258
random,30500,hybrid,10,14341
reversed,30500,hybrid,10,11639
almost_sorted,30500,hybrid,10,11324
random,30500,hybrid,20,15351
reversed,30500,hybrid,20,9236
almost_sorted,30500,hybrid,20,8505
random,30500,hybrid,30,12012
reversed,30500,hybrid,30,9938
almost_sorted,30500,hybrid,30,6949
random,30500,hybrid,50,13186
reversed,30500,hybrid,50,9935
almost_sorted,30500,hybrid,50,6949
random,30600,standard,0,51095
reversed,30600,standard,0,39255
almost_sorted,30600,standard,0,39120
random,30600,hybrid,5,18890
reversed,30600,hybrid,5,15783
almost_sorted,30600,hybrid,5,17872
random,30600,hybrid,10,14839
reversed,30600,hybrid,10,11918
almost_sorted,30600,hybrid,10,14867
random,30600,hybrid,20,12861
reversed,30600,hybrid,20,9174
almost_sorted,30600,hybrid,20,8495
random,30600,hybrid,30,12180
reversed,30600,hybrid,30,9955
almost_sorted,30600,hybrid,30,6881
random,30600,hybrid,50,12062
reversed,30600,hybrid,50,9751
almost_sorted,30600,hybrid,50,7054
random,30700,standard,0,43554
reversed,30700,standard,0,39665
almost_sorted,30700,standard,0,49241
random,30700,hybrid,5,18776
reversed,30700,hybrid,5,17040
almost_sorted,30700,hybrid,5,15791
random,30700,hybrid,10,14553
reversed,30700,hybrid,10,11614
almost_sorted,30700,hybrid,10,12936
random,30700,hybrid,20,12234
reversed,30700,hybrid,20,9130
almost_sorted,30700,hybrid,20,9059
random,30700,hybrid,30,15552
reversed,30700,hybrid,30,11356
almost_sorted,30700,hybrid,30,6843
random,30700,hybrid,50,11987
reversed,30700,hybrid,50,9544
almost_sorted,30700,hybrid,50,7079
random,30800,standard,0,48127
reversed,30800,standard,0,39497
almost_sorted,30800,standard,0,41521
random,30800,hybrid,5,19543
reversed,30800,hybrid,5,15889
almost_sorted,30800,hybrid,5,15962
random,30800,hybrid,10,14509
reversed,30800,hybrid,10,11538
almost_sorted,30800,hybrid,10,11910
random,30800,hybrid,20,15140
reversed,30800,hybrid,20,9269
almost_sorted,30800,hybrid,20,8679
random,30800,hybrid,30,12205
reversed,30800,hybrid,30,9878
almost_sorted,30800,hybrid,30,7235
random,30800,hybrid,50,12125
reversed,30800,hybrid,50,9772
almost_sorted,30800,hybrid,50,7246
random,30900,standard,0,45682
reversed,30900,standard,0,40438
almost_sorted,30900,standard,0,43753
random,30900,hybrid,5,19007
reversed,30900,hybrid,5,16096
almost_sorted,30900,hybrid,5,15931
random,30900,hybrid,10,14611
reversed,30900,hybrid,10,11478
almost_sorted,30900,hybrid,10,11299
random,30900,hybrid,20,12511
reversed,30900,hybrid,20,9326
almost_sorted,30900,hybrid,20,8585
random,30900,hybrid,30,12077
reversed,30900,hybrid,30,9829
almost_sorted,30900,hybrid,30,7417
random,30900,hybrid,50,12045
reversed,30900,hybrid,50,9881
almost_sorted,30900,hybrid,50,6967
random,31000,standard,0,49040
reversed,31000,standard,0,40694
almost_sorted,31000,standard,0,40821
random,31000,hybrid,5,20861
reversed,31000,hybrid,5,16333
almost_sorted,31000,hybrid,5,16132
random,31000,hybrid,10,14803
reversed,31000,hybrid,10,11638
almost_sorted,31000,hybrid,10,19752
random,31000,hybrid,20,12419
reversed,31000,hybrid,20,9320
almost_sorted,31000,hybrid,20,8745
random,31000,hybrid,30,12336
reversed,31000,hybrid,30,9679
almost_sorted,31000,hybrid,30,7463
random,31000,hybrid,50,12057
reversed,31000,hybrid,50,9946
almost_sorted,31000,hybrid,50,7132
random,31100,standard,0,44807
reversed,31100,standard,0,41065
almost_sorted,31100,standard,0,43916
random,31100,hybrid,5,20907
reversed,31100,hybrid,5,16153
almost_sorted,31100,hybrid,5,15826
random,31100,hybrid,10,14675
reversed,31100,hybrid,10,11370
almost_sorted,31100,hybrid,10,11178
random,31100,hybrid,20,15339
reversed,31100,hybrid,20,10472
almost_sorted,31100,hybrid,20,9851
random,31100,hybrid,30,12468
reversed,31100,hybrid,30,9655
almost_sorted,31100,hybrid,30,8244
random,31100,hybrid,50,12190
reversed,31100,hybrid,50,12543
almost_sorted,31100,hybrid,50,7145
random,31200,standard,0,46716
reversed,31200,standard,0,40435
almost_sorted,31200,standard,0,39872
random,31200,hybrid,5,25318
reversed,31200,hybrid,5,16131
almost_sorted,31200,hybrid,5,16195
random,31200,hybrid,10,14708
reversed,31200,hybrid,10,15508
almost_sorted,31200,hybrid,10,11487
random,31200,hybrid,20,12584
reversed,31200,hybrid,20,9412
almost_sorted,31200,hybrid,20,8566
random,31200,hybrid,30,12293
reversed,31200,hybrid,30,9722
almost_sorted,31200,hybrid,30,8058
random,31200,hybrid,50,12468
reversed,31200,hybrid,50,10132
almost_sorted,31200,hybrid,50,7785
random,31300,standard,0,44166
reversed,31300,standard,0,40762
almost_sorted,31300,standard,0,52165
random,31300,hybrid,5,19588
reversed,31300,hybrid,5,16333
almost_sorted,31300,hybrid,5,15959
random,31300,hybrid,10,15725
reversed,31300,hybrid,10,11524
almost_sorted,31300,hybrid,10,11494
random,31300,hybrid,20,12665
reversed,31300,hybrid,20,9601
almost_sorted,31300,hybrid,20,8803
random,31300,hybrid,30,12603
reversed,31300,hybrid,30,9678
almost_sorted,31300,hybrid,30,8193
random,31300,hybrid,50,15022
reversed,31300,hybrid,50,10413
almost_sorted,31300,hybrid,50,7281
random,31400,standard,0,43557
reversed,31400,standard,0,41793
almost_sorted,31400,standard,0,40141
random,31400,hybrid,5,19449
reversed,31400,hybrid,5,16305
almost_sorted,31400,hybrid,5,18831
random,31400,hybrid,10,25559
reversed,31400,hybrid,10,12787
almost_sorted,31400,hybrid,10,11495
random,31400,hybrid,20,12746
reversed,31400,hybrid,20,9583
almost_sorted,31400,hybrid,20,8827
random,31400,hybrid,30,12497
reversed,31400,hybrid,30,9576
almost_sorted,31400,hybrid,30,8335
random,31400,hybrid,50,14177
reversed,31400,hybrid,50,12598
almost_sorted,31400,hybrid,50,8631
random,31500,standard,0,45741
reversed,31500,standard,0,45600
almost_sorted,31500,standard,0,40460
random,31500,hybrid,5,19154
reversed,31500,hybrid,5,18037
almost_sorted,31500,hybrid,5,16199
random,31500,hybrid,10,15467
reversed,31500,hybrid,10,11714
almost_sorted,31500,hybrid,10,11480
random,31500,hybrid,20,12701
reversed,31500,hybrid,20,9480
almost_sorted,31500,hybrid,20,8879
random,31500,hybrid,30,21779
reversed,31500,hybrid,30,9755
almost_sorted,31500,hybrid,30,8477
random,31500,hybrid,50,12650
reversed,31500,hybrid,50,10178
almost_sorted,31500,hybrid,50,7358
random,31600,standard,0,44775
reversed,31600,standard,0,41132
almost_sorted,31600,standard,0,41902
random,31600,hybrid,5,19571
reversed,31600,hybrid,5,27097
almost_sorted,31600,hybrid,5,16101
random,31600,hybrid,10,14968
reversed,31600,hybrid,10,13189
almost_sorted,31600,hybrid,10,12195
random,31600,hybrid,20,12692
reversed,31600,hybrid,20,9705
almost_sorted,31600,hybrid,20,10768
random,31600,hybrid,30,12923
reversed,31600,hybrid,30,9672
almost_sorted,31600,hybrid,30,9413
random,31600,hybrid,50,12398
reversed,31600,hybrid,50,10199
almost_sorted,31600,hybrid,50,7416
random,31700,standard,0,45196
reversed,31700,standard,0,43278
almost_sorted,31700,standard,0,40412
random,31700,hybrid,5,19373
reversed,31700,hybrid,5,16520
almost_sorted,31700,hybrid,5,16272
random,31700,hybrid,10,15024
reversed,31700,hybrid,10,11858
almost_sorted,31700,hybrid,10,11660
random,31700,hybrid,20,13762
reversed,31700,hybrid,20,10574
almost_sorted,31700,hybrid,20,12520
random,31700,hybrid,30,13938
reversed,31700,hybrid,30,11105
almost_sorted,31700,hybrid,30,12568
random,31700,hybrid,50,12369
reversed,31700,hybrid,50,10465
almost_sorted,31700,hybrid,50,7097
random,31800,standard,0,45005
reversed,31800,standard,0,43486
almost_sorted,31800,standard,0,42731
random,31800,hybrid,5,23023
reversed,31800,hybrid,5,16089
almost_sorted,31800,hybrid,5,17607
random,31800,hybrid,10,14853
reversed,31800,hybrid,10,11649
almost_sorted,31800,hybrid,10,11294
random,31800,hybrid,20,12755
reversed,31800,hybrid,20,9612
almost_sorted,31800,hybrid,20,8857
random,31800,hybrid,30,12693
reversed,31800,hybrid,30,9607
almost_sorted,31800,hybrid,30,8858
random,31800,hybrid,50,12504
reversed,31800,hybrid,50,9987
almost_sorted,31800,hybrid,50,7295
random,31900,standard,0,45049
reversed,31900,standard,0,40655
almost_sorted,31900,standard,0,40798
random,31900,hybrid,5,19345
reversed,31900,hybrid,5,16515
almost_sorted,31900,hybrid,5,16443
random,31900,hybrid,10,15198
reversed,31900,hybrid,10,11798
almost_sorted,31900,hybrid,10,11509
random,31900,hybrid,20,20822
reversed,31900,hybrid,20,9528
almost_sorted,31900,hybrid,20,8998
random,31900,hybrid,30,13271
reversed,31900,hybrid,30,9731
almost_sorted,31900,hybrid,30,8921
random,31900,hybrid,50,14411
reversed,31900,hybrid,50,10271
almost_sorted,31900,hybrid,50,7552
random,32000,standard,0,45382
reversed,32000,standard,0,43012
almost_sorted,32000,standard,0,45515
random,32000,hybrid,5,19337
reversed,32000,hybrid,5,16312
almost_sorted,32000,hybrid,5,16049
random,32000,hybrid,10,15001
reversed,32000,hybrid,10,11573
almost_sorted,32000,hybrid,10,11573
random,32000,hybrid,20,12899
reversed,32000,hybrid,20,11014
almost_sorted,32000,hybrid,20,8877
random,32000,hybrid,30,12752
reversed,32000,hybrid,30,9738
almost_sorted,32000,hybrid,30,9004
random,32000,hybrid,50,14484
reversed,32000,hybrid,50,11955
almost_sorted,32000,hybrid,50,7380
random,32100,standard,0,44793
reversed,32100,standard,0,41077
almost_sorted,32100,standard,0,46458
random,32100,hybrid,5,19492
reversed,32100,hybrid,5,16409
almost_sorted,32100,hybrid,5,20790
random,32100,hybrid,10,22785
reversed,32100,hybrid,10,13430
almost_sorted,32100,hybrid,10,12488
random,32100,hybrid,20,14039
reversed,32100,hybrid,20,10491
almost_sorted,32100,hybrid,20,9369
random,32100,hybrid,30,13238
reversed,32100,hybrid,30,9926
almost_sorted,32100,hybrid,30,9135
random,32100,hybrid,50,15409
reversed,32100,hybrid,50,11386
almost_sorted,32100,hybrid,50,8487
random,32200,standard,0,47564
reversed,32200,standard,0,51502
almost_sorted,32200,standard,0,42278
random,32200,hybrid,5,20534
reversed,32200,hybrid,5,16799
